Municipio;Tipologia;Classificazione;Denominazione;Indirizzo;Singole;Doppie;Triple;Quadruple;Quintuple;Sestuple;Totale camere;Posti letto;Unita abitative;Posti letto unita abitative
Municipio I (ex Mun I);Albergo;1 Stella;CHERUBINI;VIA GIOVANNI AMENDOLA, 77;1;6;4;0;0;0;11;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CHIC & TOWN HOTEL;VIA DEI DUE MACELLI, 31;2;7;1;0;0;0;10;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CIAO HOTEL;VIA MARSALA, 96;5;6;0;0;0;0;11;17;0;0
Municipio I (ex Mun I);Albergo;1 Stella;CRESSY;VIA VOLTURNO, 27;2;2;5;1;0;0;10;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;DELLE ROSE;VIA PRINCIPE AMEDEO, 62;2;7;0;0;0;0;9;16;0;0
Municipio I (ex Mun I);Albergo;1 Stella;DHARMA HOTEL;VIA TORINO, 122;1;9;2;0;0;0;12;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;DI RIENZO;VIA PRINCIPE AMEDEO, 79;3;11;0;0;0;0;14;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;D & T HOTEL;VIA CARLO CATTANEO, 23;1;3;5;9;0;0;18;58;0;0
Municipio I (ex Mun I);Albergo;1 Stella;EURO QUIRIS;VIA DEI MILLE, 64;3;4;2;0;0;0;9;17;0;0
Municipio I (ex Mun I);Albergo;1 Stella;EUROROOMS;VIA PALESTRO, 87;2;5;1;0;0;0;8;15;0;0
Municipio I (ex Mun I);Albergo;1 Stella;FARINI;VIA FARINI, 52;3;3;1;0;0;0;7;12;0;0
Municipio I (ex Mun I);Albergo;1 Stella;FIORENZA;VIA DEI MILLE, 64;1;9;2;0;0;0;12;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;F.S.D. HOTEL;VIA TORINO, 122;5;6;2;0;0;0;13;23;1;23
Municipio I (ex Mun I);Albergo;1 Stella;G55 DESIGN HOTEL;VIA DEL GESU', 55;0;4;2;1;0;0;7;18;0;0
Municipio I (ex Mun I);Albergo;1 Stella;GIAMAICA;VIA MAGENTA, 13;2;6;1;0;0;0;9;17;0;0
Municipio I (ex Mun I);Albergo;1 Stella;GIUGIU;VIA DEL VIMINALE, 8;1;5;3;1;0;0;10;24;0;0
Municipio I (ex Mun I);Albergo;1 Stella;GLORIA;VIA GIOBERTI, 30;3;7;0;0;0;0;10;17;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HAMILTON;VIA PRINCIPE AMEDEO, 67;1;7;1;1;0;0;10;22;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL ALBA GARDEN;VIA CONTE VERDE, 4;2;4;1;0;0;0;7;13;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL ALIUS;VIA NAZIONALE, 243;1;9;0;0;0;0;10;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL ALTAVILLA 9;VIA PRINCIPE AMEDEO, 9;2;0;3;2;1;0;8;24;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL ALTAVILLA DIECI;VIA PRINCIPE AMEDEO, 9;2;1;3;1;0;0;7;17;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL AUDITORIUM DI MECENATE;VIA DELLO STATUTO, 44;1;8;1;0;0;0;10;20;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL CASTELFIDARDO;VIA CASTELFIDARDO, 31;7;6;2;0;0;0;15;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL DOMUS PRAETORIA;VIA MILAZZO, 42;3;6;3;0;0;0;12;24;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL FAMILY HOUSE;VIA BIXIO, 72;4;6;1;0;0;0;11;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL INDIPENDENZA;VIA MAGENTA, 13;3;7;1;0;0;0;11;20;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL LEONE;VIA CAVOUR, 47;3;3;3;0;0;0;9;18;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL MARTINI ROOMS;VIA CAIROLI, 101;2;3;2;0;0;0;7;14;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL MARYELEN;VIA PRINCIPE AMEDEO, 85/A;2;7;0;0;0;0;9;16;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL MONTI FIRST;VIA DELLA CONSULTA, 1/B;1;6;0;0;0;0;7;13;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL MOSAIC AL VIMINALE;PIAZZA DEL VIMINALE, 5;0;8;1;0;0;0;9;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL MOSAIC CENTRAL ROME;PIAZZA DEL VIMINALE, 5;0;8;1;0;0;0;9;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL MOSAIC ROME;VIA CERNAIA, 39;3;6;1;0;0;0;10;18;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL NEW CATHRINE;VIA VOLTURNO, 27;4;4;0;0;0;0;8;12;1;2
Municipio I (ex Mun I);Albergo;1 Stella;hotelOKAPI;VIA DELLA PENNA, 57;18;1;1;0;0;0;20;23;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL PICCHIERI;VIA FLAVIA, 84;4;9;1;0;0;0;14;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL PISA;VIA PIETRO MICCA, 10;3;8;2;0;0;0;13;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;HOTEL SAINT MARTIN;VIA SAN MARTINO DELLA BATTAGLIA, 11;0;9;2;0;0;0;11;24;0;0
Municipio I (ex Mun I);Albergo;1 Stella;IL PAPAVERO;VIA CASTELFIDARDO, 50;0;3;1;6;0;0;10;33;0;0
Municipio I (ex Mun I);Albergo;1 Stella;KATTY;VIA PALESTRO, 35;1;6;1;1;0;0;9;20;0;0
Municipio I (ex Mun I);Albergo;1 Stella;KATTY 2;VIA PALESTRO, 35;1;2;1;3;0;0;7;20;0;0
Municipio I (ex Mun I);Albergo;1 Stella;LA ROSA;VIA CARLO ALBERTO, 71;0;5;0;0;0;0;5;10;0;0
Municipio I (ex Mun I);Albergo;1 Stella;LAZZARI;VIA CASTELFIDARDO, 31;6;6;1;0;0;0;13;21;0;0
Municipio I (ex Mun I);Albergo;1 Stella;LICIA;VIA PRINCIPE AMEDEO, 76;2;6;1;2;0;0;11;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;LUCIA;VIA GIOVANNI AMENDOLA, 77;3;4;4;0;0;0;11;23;0;0
Municipio I (ex Mun I);Albergo;1 Stella;LUCY;VIA MAGENTA, 13;4;0;3;0;0;0;7;13;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MAJOR AVENTINUS;VIA DI S. ANSELMO, 10;19;8;2;0;0;0;29;41;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MARI;VIA PALESTRO, 55;5;7;0;0;0;0;12;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MARI 2;VIA CALATAFIMI, 38;2;17;0;0;0;0;19;36;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MARTINO AI MONTI;VIA DOMENICHINO, 7;2;4;1;0;0;0;7;13;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MIMOSA;VIA DI S. CHIARA, 61;2;5;3;1;0;0;11;25;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MONTEROSA;VIA ALFREDO CAPPELLINI, 46;1;2;1;0;0;0;4;8;0;0
Municipio I (ex Mun I);Albergo;1 Stella;MOSCATELLO;VIA PRINCIPE EUGENIO, 51;0;9;5;0;0;0;14;33;0;0
Municipio I (ex Mun I);Albergo;1 Stella;NEW YORK;VIA MAGENTA, 13;6;2;3;0;0;0;11;19;0;0
Municipio I (ex Mun I);Albergo;1 Stella;NICE HOTEL;VIA SAPRI, 6;1;3;2;1;0;0;7;17;0;0
