NUMERO CON;TIPO PAVIMENTAZIONE;TIPO COPERTURA;MQ;DAL GIORNO;AL GIORNO;NOTE;UBICAZIONE;CIVICO;STAGIONE;AREA MQ;DO_Y;DO_X
1113;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;23;2011-11-16;2014-03-14;;Via Pisana;40 R;INVERNALE;23;43.7708650315185;11.238838085159
1117;PEDANA RINGHIERA TAVOLINI;NESSUNA;12;2011-11-16;2014-03-14;;Viale Edmondo De Amicis;67 R;INVERNALE;12;43.7797541255989;11.2910635942242
1117;PEDANA RINGHIERA TAVOLINI;NESSUNA;7;2011-11-16;2014-03-14;;Viale Terenzio Mamiani;;INVERNALE;7;43.7797373047851;11.2910337826228
1121;PEDANA RINGHIERA TAVOLINI PARAVENTI;GAZEBO;13;2012-11-16;2015-03-14;;Viale Spartaco Lavagnini;28 R;INVERNALE;13;43.7829537998676;11.2564363100251
114;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;18;2012-11-16;2015-03-14;;Piazza dei Pitti;34 R;INVERNALE;18;43.7663336148797;11.2504955174986
1140;TAVOLINI;NESSUNA;8;2012-11-16;2015-03-14;;Via dei Ginori;4 R;INVERNALE;8;43.7758807090255;11.2554727406669
1143;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;9;2011-11-16;2014-03-14;;Via Casentino;51;INVERNALE;9;43.7973579588633;11.218269885789
1146;PEDANA RINGHIERA TAVOLINI;NESSUNA;10;2012-11-16;2015-03-14;;Via delle Belle Donne;34 R;INVERNALE;10;43.7734881433473;11.2502559576396
1151;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;13;2012-11-16;2015-03-14;;Piazza dei Pitti;19 R;INVERNALE;13;43.765905601017;11.2495630413309
1153;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;12;2012-11-16;2015-03-14;;Via Giuseppe Verdi;28 R;INVERNALE;12;43.7703364359286;11.2616784918577
1154;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;10;2011-11-16;2014-03-14;;Via Ferdinando Paoletti;32 R;INVERNALE;10;43.7900390156289;11.2533073395518
1163;PEDANA RINGHIERA TAVOLINI;NESSUNA;13;2012-11-16;2015-03-14;;Via Fiesolana;23 R;INVERNALE;13;43.7726023356907;11.2631691890949
1174;PEDANA RINGHIERA TAVOLINI;NESSUNA;6;2011-11-16;2014-03-14;;Largo Giovanni Alessandro Brambilla;8;INVERNALE;6;43.8034317428348;11.245235810073
1174;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;24;2011-11-16;2014-03-14;;Largo Giovanni Alessandro Brambilla;8;INVERNALE;24;43.8034358812132;11.2452093205203
1177;PEDANA RINGHIERA TAVOLINI PARAVENTI;SEMIRIGIDA;24;2011-11-16;2014-03-14;;Viale dei Mille;152;INVERNALE;24;43.7853511435931;11.2709796290883
1179;PEDANA RINGHIERA TAVOLINI;COPERTURA NON DEFINITA;8;2012-03-15;2013-11-15;;Via Vincenzo Gioberti;32/A;ESTIVO;8;43.7700069450105;11.2781962640724
1184;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;30;2012-11-16;2015-03-14;;Via del Campidoglio;8 R;INVERNALE;30;43.7722817074968;11.2532151867995
1189;PEDANA RINGHIERA TAVOLINI;OMBRELLONI;13;2012-11-16;2015-03-14;;Via Nazionale;36 R;INVERNALE;13;43.7764899647121;11.2510451999598
